Province,Sector,MonthYear,Employment
Quebec,Manufacturing,Aug-2015,407798
Quebec,Manufacturing,Sep-2015,405133
Quebec,Manufacturing,Oct-2015,404667
Quebec,Manufacturing,Nov-2015,406360
Quebec,Manufacturing,Dec-2015,408197
Quebec,Manufacturing,Jan-2016,406104
Quebec,Manufacturing,Feb-2016,401830
Quebec,Manufacturing,Mar-2016,403875
Quebec,Manufacturing,Apr-2016,403511
Quebec,Manufacturing,May-2016,406110
Quebec,Manufacturing,Jun-2016,407006
Quebec,Manufacturing,Jul-2016,405185
Quebec,Manufacturing,Aug-2016,404209
Quebec,Manufacturing,Sep-2016,407674
Quebec,Manufacturing,Oct-2016,409131
Quebec,Manufacturing,Nov-2016,411312
Quebec,Manufacturing,Dec-2016,412809
Quebec,Manufacturing,Jan-2017,410607
Quebec,Manufacturing,Feb-2017,412197
Quebec,Manufacturing,Mar-2017,414119
Quebec,Manufacturing,Apr-2017,414139
Quebec,Manufacturing,May-2017,416628
Quebec,Manufacturing,Jun-2017,417900
Quebec,Manufacturing,Jul-2017,422173
Quebec,Manufacturing,Aug-2017,421047
Quebec,Manufacturing,Sep-2017,423169
Quebec,Manufacturing,Oct-2017,423783
Quebec,Manufacturing,Nov-2017,424033
Quebec,Manufacturing,Dec-2017,423217
Ontario,Construction,Jan-2011,277359
Ontario,Construction,Feb-2011,280045
Ontario,Construction,Mar-2011,280099
Ontario,Construction,Apr-2011,281091
Ontario,Construction,May-2011,274744
Ontario,Construction,Jun-2011,282295
Ontario,Construction,Jul-2011,284714
Ontario,Construction,Aug-2011,280586
Ontario,Construction,Sep-2011,285817
Ontario,Construction,Oct-2011,283943
Ontario,Construction,Nov-2011,285196
Ontario,Construction,Dec-2011,285408
Ontario,Construction,Jan-2012,287081
Ontario,Construction,Feb-2012,287187
Ontario,Construction,Mar-2012,290757
Ontario,Construction,Apr-2012,290816
Ontario,Construction,May-2012,291004
Ontario,Construction,Jun-2012,291223
Ontario,Construction,Jul-2012,291003
Ontario,Construction,Aug-2012,292786
Ontario,Construction,Sep-2012,292167
Ontario,Construction,Oct-2012,292647
Ontario,Construction,Nov-2012,294114
Ontario,Construction,Dec-2012,296189
Ontario,Construction,Jan-2013,295649
Ontario,Construction,Feb-2013,295671
Ontario,Construction,Mar-2013,296847
Ontario,Construction,Apr-2013,295904
Ontario,Construction,May-2013,293143
Ontario,Construction,Jun-2013,293413
Ontario,Construction,Jul-2013,296253
Ontario,Construction,Aug-2013,300509
Ontario,Construction,Sep-2013,297602
Ontario,Construction,Oct-2013,298373
Ontario,Construction,Nov-2013,300883
Ontario,Construction,Dec-2013,296879
Ontario,Construction,Jan-2014,297927
Ontario,Construction,Feb-2014,300925
Ontario,Construction,Mar-2014,299154
Ontario,Construction,Apr-2014,297332
Ontario,Construction,May-2014,303055
Ontario,Construction,Jun-2014,305381
Ontario,Construction,Jul-2014,307749
Ontario,Construction,Aug-2014,309240
Ontario,Construction,Sep-2014,309290
Ontario,Construction,Oct-2014,313072
Ontario,Construction,Nov-2014,312505
Ontario,Construction,Dec-2014,310208
Ontario,Construction,Jan-2015,310505
Ontario,Construction,Feb-2015,312509
Ontario,Construction,Mar-2015,312241
Ontario,Construction,Apr-2015,314538
Ontario,Construction,May-2015,321065
Ontario,Construction,Jun-2015,320068
Ontario,Construction,Jul-2015,320805
Ontario,Construction,Aug-2015,323889
Ontario,Construction,Sep-2015,323587
Ontario,Construction,Oct-2015,324821
Ontario,Construction,Nov-2015,318768
Ontario,Construction,Dec-2015,323119
Ontario,Construction,Jan-2016,324666
Ontario,Construction,Feb-2016,320968
Ontario,Construction,Mar-2016,321992
Ontario,Construction,Apr-2016,330313
Ontario,Construction,May-2016,327129
Ontario,Construction,Jun-2016,326352
Ontario,Construction,Jul-2016,328052
Ontario,Construction,Aug-2016,324332
Ontario,Construction,Sep-2016,327285
Ontario,Construction,Oct-2016,326075
Ontario,Construction,Nov-2016,328746
Ontario,Construction,Dec-2016,335396
